,归属行名,创建机构名称,分级结果,客户号,所占本行百分比
296,中国银行德阳黄河新区支行,中国银行德阳岷江西路支行,B1,1,1.4925373134328357%
297,中国银行德阳黄河新区支行,中国银行德阳岷江西路支行,C,2,2.9850746268656714%
298,中国银行德阳黄河新区支行,中国银行德阳峨眉山南路支行,A1,74,84.0909090909091%
299,中国银行德阳黄河新区支行,中国银行德阳峨眉山南路支行,A2,3,3.4090909090909087%
300,中国银行德阳黄河新区支行,中国银行德阳峨眉山南路支行,A3,10,11.363636363636363%
301,中国银行德阳黄河新区支行,中国银行德阳峨眉山南路支行,C,1,1.1363636363636365%
302,中国银行德阳黄河新区支行,中国银行德阳庐山北路支行,A1,132,86.27450980392157%
303,中国银行德阳黄河新区支行,中国银行德阳庐山北路支行,A2,1,0.6535947712418301%
304,中国银行德阳黄河新区支行,中国银行德阳庐山北路支行,A3,18,11.76470588235294%
305,中国银行德阳黄河新区支行,中国银行德阳庐山北路支行,C,2,1.3071895424836601%
306,中国银行德阳黄河新区支行,中国银行德阳庐山南路支行,A1,51,83.60655737704919%
307,中国银行德阳黄河新区支行,中国银行德阳庐山南路支行,A2,2,3.278688524590164%
308,中国银行德阳黄河新区支行,中国银行德阳庐山南路支行,A3,6,9.836065573770492%
309,中国银行德阳黄河新区支行,中国银行德阳庐山南路支行,B1,1,1.639344262295082%
310,中国银行德阳黄河新区支行,中国银行德阳庐山南路支行,C,1,1.639344262295082%
311,中国银行德阳黄河新区支行,中国银行德阳旌湖支行,A1,68,80.95238095238095%
312,中国银行德阳黄河新区支行,中国银行德阳旌湖支行,A2,2,2.380952380952381%
313,中国银行德阳黄河新区支行,中国银行德阳旌湖支行,A3,12,14.285714285714285%
314,中国银行德阳黄河新区支行,中国银行德阳旌湖支行,B2,1,1.1904761904761905%
315,中国银行德阳黄河新区支行,中国银行德阳旌湖支行,C,1,1.1904761904761905%
316,中国银行德阳黄河新区支行,中国银行德阳旌阳支行,A1,109,90.83333333333333%
317,中国银行德阳黄河新区支行,中国银行德阳旌阳支行,A2,1,0.8333333333333334%
318,中国银行德阳黄河新区支行,中国银行德阳旌阳支行,A3,10,8.333333333333332%
319,中国银行德阳黄河新区支行,中国银行德阳泰山北路支行,A1,277,87.65822784810126%
320,中国银行德阳黄河新区支行,中国银行德阳泰山北路支行,A2,6,1.89873417721519%
321,中国银行德阳黄河新区支行,中国银行德阳泰山北路支行,A3,29,9.177215189873419%
322,中国银行德阳黄河新区支行,中国银行德阳泰山北路支行,B1,3,0.949367088607595%
323,中国银行德阳黄河新区支行,中国银行德阳泰山北路支行,C,1,0.31645569620253167%
324,中国银行德阳黄河新区支行,中国银行德阳珠江西路支行,A1,71,84.52380952380952%
325,中国银行德阳黄河新区支行,中国银行德阳珠江西路支行,A2,1,1.1904761904761905%
326,中国银行德阳黄河新区支行,中国银行德阳珠江西路支行,A3,9,10.714285714285714%
327,中国银行德阳黄河新区支行,中国银行德阳珠江西路支行,B1,2,2.380952380952381%
328,中国银行德阳黄河新区支行,中国银行德阳珠江西路支行,C,1,1.1904761904761905%
